Movie Title,YouTube Link,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,
Underwater,https://www.youtube.com/watch?v=jCFWEzIVILc,2020,PG-13,10 Jan 2020,95 min,"Action, Horror, Sci-Fi",William Eubank,"Brian Duffield, Adam Cozad","Kristen Stewart, Vincent Cassel, Mamoudou Athie",A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.,English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BODljZWI2NTAtNzIxOC00NjM3LWI0NWEtMDA0YjcwYTEyNDM4XkEyXkFqcGc@._V1_SX300.jpg,48,5.9,104654,tt5774060,movie,N/A,
Ad Astra,https://www.youtube.com/watch?v=nxi6rtBtBM0,2019,PG-13,20 Sep 2019,123 min,"Adventure, Drama, Mystery",James Gray,"James Gray, Ethan Gross","Brad Pitt, Tommy Lee Jones, Ruth Negga","Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.","English, Norwegian","United States, China, Brazil",Nominated for 1 Oscar. 10 wins & 75 nominations total,https://m.media-amazon.com/images/M/MV5BOGRhOGNjZjEtNTU2Ni00MDlmLWI3MWEtNzc1OGE2ZmEwZGNhXkEyXkFqcGc@._V1_SX300.jpg,80,6.5,274765,tt2935510,movie,N/A,
The Art of Racing in the Rain,https://www.youtube.com/watch?v=Dp2ufFO4QGg,2019,PG,09 Aug 2019,109 min,"Comedy, Drama, Romance",Simon Curtis,"Mark Bomback, Garth Stein","Kevin Costner, Milo Ventimiglia, Jackie Minns","Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.","English, Italian",United States,N/A,https://m.media-amazon.com/images/M/MV5BNzUyMTJlMzMtYjJkYy00MDA4LTlhMDAtNjM1OGVhYmFjZmJiXkEyXkFqcGc@._V1_SX300.jpg,43,7.6,45214,tt1478839,movie,N/A,
Stuber,https://www.youtube.com/watch?v=i5l6a5RiR1E,2019,R,12 Jul 2019,93 min,"Action, Comedy, Crime",Michael Dowse,Tripper Clancy,"Dave Bautista, Kumail Nanjiani, Mira Sorvino",A detective recruits his Uber driver into an unexpected night of adventure.,"English, Spanish",United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BYTg4YjkyZTAtMmFmZi00ZTk2LWExMDgtMzE3ZTJjNjIwMWY0XkEyXkFqcGc@._V1_SX300.jpg,42,6.2,53767,tt7734218,movie,N/A,
Dark Phoenix,https://www.youtube.com/watch?v=1-q8C_c-nlM,2019,PG-13,07 Jun 2019,113 min,"Action, Adventure, Sci-Fi",Simon Kinberg,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence","Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to have to decide if her life is worth more than all of humanity.","English, French",United States,13 nominations total,https://m.media-amazon.com/images/M/MV5BZjcwMDIyNjctMDVmNS00MzkyLTgxMDMtNTFmNTk0NDkyNzdjXkEyXkFqcGc@._V1_SX300.jpg,43,5.7,222185,tt6565702,movie,N/A,
Breakthrough,https://www.youtube.com/watch?v=go1jaIRQc-o,2019,PG,17 Apr 2019,116 min,"Biography, Drama",Roxann Dawson,"Joyce Smith, Grant Nieporte","Marcel Ruiz, Topher Grace, Sarah Constible","When her 14-year-old son drowns in a lake, a faithful mother prays for him to come back from the brink of death and be healed.",English,"United States, Canada",Nominated for 1 Oscar. 2 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNmU1NWU3MWYtMWIzZC00YzgwLWI3ODktZGYyNzJmNTIwZDgxXkEyXkFqcGc@._V1_SX300.jpg,46,6.3,11613,tt7083526,movie,N/A,
Once Upon A Deadpool,https://www.youtube.com/watch?v=PCf03KXyzIg,2018,PG-13,12 Dec 2018,118 min,"Action, Adventure, Comedy",David Leitch,"Rhett Reese, Ryan Reynolds, Paul Wernick","Ryan Reynolds, Josh Brolin, Morena Baccarin","A kidnapped Fred Savage is forced to endure Deadpool's PG-13 rendition of Deadpool 2 as a Princess Bride-esque story that's full of magic, wonder and a single F.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYWZmMGVkYzctZjI4OC00ZjVkLTk5M2YtYWI2MDE3MmRmZjA0XkEyXkFqcGc@._V1_SX300.jpg,N/A,7.2,2088,tt31050020,movie,N/A,
Alita: Battle Angel,https://www.youtube.com/watch?v=U3D2vmWD88w,2019,PG-13,14 Feb 2019,122 min,"Action, Adventure, Sci-Fi",Robert Rodriguez,"James Cameron, Laeta Kalogridis, Yukito Kishiro","Rosa Salazar, Christoph Waltz, Jennifer Connelly","A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.","English, Spanish","Japan, Canada, United States",10 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BYmZhZGQzM2MtMWEyZC00YTU1LTk4YTQtMTg3ZjEzM2U1NTkxXkEyXkFqcGc@._V1_SX300.jpg,53,7.3,317511,tt0437086,movie,N/A,
Bad Times at the El Royale,https://www.youtube.com/watch?v=y7wzBVARwaU,2018,R,12 Oct 2018,141 min,"Crime, Drama, Mystery",Drew Goddard,Drew Goddard,"Jeff Bridges, Cynthia Erivo, Dakota Johnson","1969. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",English,United States,2 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BOTk1Nzk1MDc1MF5BMl5BanBnXkFtZTgwNjU2NDExNjM@._V1_SX300.jpg,60,7.1,174353,tt6628394,movie,N/A,
Widows,https://www.youtube.com/watch?v=nN2yBBSRC78,2018,R,16 Nov 2018,129 min,"Crime, Drama, Thriller",Steve McQueen,"Gillian Flynn, Steve McQueen, Lynda La Plante","Viola Davis, Michelle Rodriguez, Elizabeth Debicki",Four women with nothing in common except a debt left behind by their dead husbands' criminal activities take fate into their own hands and conspire to forge a future on their own terms.,"English, Spanish, Polish","United Kingdom, United States",Nominated for 1 BAFTA Award18 wins & 107 nominations total,https://m.media-amazon.com/images/M/MV5BMjM3ODc5NDEyOF5BMl5BanBnXkFtZTgwMTI4MDcxNjM@._V1_SX300.jpg,84,6.8,107341,tt4218572,movie,N/A,
Bohemian Rhapsody,https://www.youtube.com/watch?v=mP0VHJYFOAU,2018,PG-13,02 Nov 2018,134 min,"Biography, Drama, Music",Bryan Singer,"Anthony McCarten, Peter Morgan","Rami Malek, Lucy Boynton, Gwilym Lee","With his impeccable vocal abilities, Freddie Mercury and his rock band, Queen, achieve superstardom. However, amidst his skyrocketing success, he grapples with his ego, sexuality and a fatal illness.","English, British Sign ","United Kingdom, United States",Won 4 Oscars. 50 wins & 80 nominations total,https://m.media-amazon.com/images/M/MV5BMTA2NDc3Njg5NDVeQTJeQWpwZ15BbWU4MDc1NDcxNTUz._V1_SX300.jpg,49,7.9,632059,tt1727824,movie,N/A,
The Predator,https://www.youtube.com/watch?v=WaG1KZqrLvM,2018,R,14 Sep 2018,107 min,"Action, Adventure, Sci-Fi",Shane Black,"Fred Dekker, Shane Black, Jim Thomas","Boyd Holbrook, Trevante Rhodes, Jacob Tremblay","When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.","English, Spanish","Canada, United States, United Kingdom, India, Australia, Brazil, China",1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMjM5MDk2NDIxMF5BMl5BanBnXkFtZTgwNjU5NDk3NTM@._V1_SX300.jpg,48,5.3,156053,tt3829266,movie,N/A,
The Hate U Give,https://www.youtube.com/watch?v=3MM8OkVT0hw,2018,PG-13,19 Oct 2018,133 min,"Crime, Drama",George Tillman Jr.,"Audrey Wells, Angie Thomas","Amandla Stenberg, Regina Hall, Russell Hornsby","Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressure from all sides of the community, Starr must find her voice and stand up for what's right.",English,United States,22 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BZWZlYjczMjctNTFhNC00OGUyLWFhNTgtY2RlZjE3NGI0NDJkXkEyXkFqcGc@._V1_SX300.jpg,81,7.5,42543,tt5580266,movie,N/A,
The Darkest Minds,https://www.youtube.com/watch?v=tN8o_E_f9FQ,2018,PG-13,03 Aug 2018,104 min,"Action, Adventure, Drama",Jennifer Yuh Nelson,"Chad Hodge, Alexandra Bracken","Amandla Stenberg, Mandy Moore, Bradley Whitford","After a disease kills 98% of children, the survivors develop powers and are declared a threat. 16-year-old Ruby, escapes the government facility and joins a group of rebel teenagers ready to fight the government forces out to get ...",English,United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNGY2N2FjZTctNmRlYS00ZmY2LWI3Y2MtZTJmZWYzZDQzZjYwXkEyXkFqcGc@._V1_SX300.jpg,39,5.7,39140,tt4073790,movie,N/A,
"Love, Simon",https://www.youtube.com/watch?v=E0cbWdlQg_8,2018,PG-13,16 Mar 2018,110 min,"Comedy, Drama, Romance",Greg Berlanti,"Becky Albertalli, Elizabeth Berger, Isaac Aptaker","Nick Robinson, Jennifer Garner, Josh Duhamel","Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.","English, German, French",United States,9 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BN2ViMjNkMDMtY2MwZC00YzRiLWJlY2UtNjU0YzNmMDc3NzkxXkEyXkFqcGc@._V1_SX300.jpg,72,7.5,131747,tt5164432,movie,N/A,
Red Sparrow,https://www.youtube.com/watch?v=PmUL6wMpMWw,2018,R,02 Mar 2018,140 min,"Action, Drama, Thriller",Francis Lawrence,"Justin Haythe, Jason Matthews","Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts",Prima ballerina Dominika Egorova turns dangerous Sparrow.,"English, Russian, Hungarian","United States, Hungary",3 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMTA3MDkxOTc4NDdeQTJeQWpwZ15BbWU4MDAxNzgyNTQz._V1_SX300.jpg,53,6.6,214571,tt2873282,movie,N/A,
The Post,https://www.youtube.com/watch?v=nrXlY6gzTTM,2017,PG-13,12 Jan 2018,116 min,"Biography, Drama, History",Steven Spielberg,"Liz Hannah, Josh Singer","Meryl Streep, Tom Hanks, Sarah Paulson",A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.,English,"United States, India",Nominated for 2 Oscars. 21 wins & 116 nominations total,https://m.media-amazon.com/images/M/MV5BMjQyMjEwOTIwNV5BMl5BanBnXkFtZTgwOTkzNTMxNDM@._V1_SX300.jpg,83,7.2,168588,tt6294822,movie,N/A,
Maze Runner: The Death Cure,https://www.youtube.com/watch?v=S_9OSktlm6s,2018,PG-13,26 Jan 2018,143 min,"Action, Adventure, Sci-Fi",Wes Ball,"T.S. Nowlin, James Dashner","Dylan O'Brien, Ki Hong Lee, Kaya Scodelario","Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".",English,United States,7 nominations total,https://m.media-amazon.com/images/M/MV5BMTYyNzk3MDc2NF5BMl5BanBnXkFtZTgwMDk3OTM1NDM@._V1_SX300.jpg,50,6.3,181539,tt4500922,movie,N/A,
Murder on the Orient Express,https://www.youtube.com/watch?v=z68frP9Q7XA,2017,PG-13,10 Nov 2017,114 min,"Comedy, Crime, Drama",Kenneth Branagh,"Michael Green, Agatha Christie","Kenneth Branagh, Penélope Cruz, Willem Dafoe","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.","English, French, Turkish, German, Arabic","United States, United Kingdom, Malta",2 wins & 31 nominations total,https://m.media-amazon.com/images/M/MV5BNTlkYjBlZTctZjg2YS00NDMzLTlkMTMtNWExMGYyOTliMmEzXkEyXkFqcGc@._V1_SX300.jpg,52,6.5,313717,tt3402236,movie,N/A,
Kingsman: The Golden Circle,https://www.youtube.com/watch?v=0fvqnGmr9S8,2017,R,22 Sep 2017,141 min,"Action, Adventure, Comedy",Matthew Vaughn,"Jane Goldman, Matthew Vaughn, Mark Millar","Taron Egerton, Colin Firth, Mark Strong","After the Kingsman's headquarters is destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy.","English, Italian, Swedish","United Kingdom, United States, Italy",2 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMjQ3OTgzMzY4NF5BMl5BanBnXkFtZTgwOTc4OTQyMzI@._V1_SX300.jpg,44,6.7,392563,tt4649466,movie,N/A,
The Mountain Between Us,https://www.youtube.com/watch?v=3jyzGKXBOxA,2017,PG-13,06 Oct 2017,112 min,"Drama, Thriller",Hany Abu-Assad,"Chris Weitz, J. Mills Goodloe, Charles Martin","Kate Winslet, Idris Elba, Beau Bridges","Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilde...",English,United States,2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMDFhZWE0MDktNDgxNi00OWE2LTg4NTgtM2Q5NDRmNTBjMzMxXkEyXkFqcGc@._V1_SX300.jpg,48,6.4,87013,tt2226597,movie,N/A,
Snatched,https://www.youtube.com/watch?v=QcyeYFXdHNQ,2017,R,12 May 2017,90 min,"Action, Adventure, Comedy",Jonathan Levine,Katie Dippold,"Amy Schumer, Goldie Hawn, Kim Caramele","When her boyfriend dumps her before their exotic vacation, a young woman persuades her ultra-cautious mother to travel with her to paradise, with unexpected results.","English, Spanish",United States,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZmM2MTlmZDItYThjZi00Y2FmLTg3NDUtYmQ5ODIxNWZmNGRiXkEyXkFqcGc@._V1_SX300.jpg,45,4.7,38671,tt2334871,movie,N/A,
A Cure for Wellness,https://www.youtube.com/watch?v=JF1rLFCdewU,2016,R,17 Feb 2017,146 min,"Drama, Fantasy, Horror",Gore Verbinski,"Justin Haythe, Gore Verbinski","Dane DeHaan, Jason Isaacs, Mia Goth",A stockbroker unravels the terrifying secrets of a mysterious Swiss spa where guests never leave.,"English, German","Germany, Luxembourg, United States",4 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTg5Njg1MzIwNl5BMl5BanBnXkFtZTgwNDU1NjczMDI@._V1_SX300.jpg,47,6.4,119854,tt4731136,movie,N/A,
Hidden Figures,https://www.youtube.com/watch?v=5wfrDhgUMGI,2016,PG,06 Jan 2017,127 min,"Biography, Drama, History",Theodore Melfi,"Allison Schroeder, Theodore Melfi, Margot Lee Shetterly","Taraji P. Henson, Octavia Spencer, Janelle Monáe",Three female African-American mathematicians play a pivotal role in astronaut John Glenn's launch into orbit while dealing with racial and gender discrimination.,English,United States,Nominated for 3 Oscars. 37 wins & 94 nominations total,https://m.media-amazon.com/images/M/MV5BY2RhNDRhNzctZTllMy00NTc2LWJjZmUtMzg3MTNiNjhhODMxXkEyXkFqcGc@._V1_SX300.jpg,74,7.8,278285,tt4846340,movie,N/A,
Logan,https://www.youtube.com/watch?v=Div0iP65aZo,2017,R,03 Mar 2017,137 min,"Action, Drama, Sci-Fi",James Mangold,"James Mangold, Scott Frank, Michael Green","Hugh Jackman, Patrick Stewart, Dafne Keen","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","English, Spanish",United States,Nominated for 1 Oscar. 28 wins & 82 nominations total,https://m.media-amazon.com/images/M/MV5BM2JjODdkMGMtNmY2YS00OGM2LThiY2YtZGYyNzE4Nzc2ODA0XkEyXkFqcGc@._V1_SX300.jpg,77,8.1,905584,tt3315342,movie,N/A,
Assassin’s Creed,https://www.youtube.com/watch?v=4haJD6W136c,2016,PG-13,21 Dec 2016,115 min,"Action, Adventure, Sci-Fi",Justin Kurzel,"Michael Lesslie, Adam Cooper, Bill Collage","Michael Fassbender, Marion Cotillard, Jeremy Irons","Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.","English, Spanish, Arabic","United States, France, United Kingdom, Hong Kong, Taiwan, Malta, Spain, Canada",2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTU2Mjc1ODY2OV5BMl5BanBnXkFtZTgwNTMzMTYzMDI@._V1_SX300.jpg,36,5.6,216763,tt2094766,movie,N/A,
Rules Don’t Apply,https://www.youtube.com/watch?v=a_QiAunKtxo,2016,17652,N/A,N/A,N/A,N/A,N/A,"Lily Collins, Haley Bennett",N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTc0MTk4MTI1M15BMl5BanBnXkFtZTgwOTIxMDQ0MDI@._V1_.jpg,N/A,N/A,N/A,tt1974420,N/A,N/A,
Morgan,https://www.youtube.com/watch?v=rqmHSR0bFU8,2016,R,02 Sep 2016,92 min,"Action, Horror, Sci-Fi",Luke Scott,Seth W. Owen,"Kate Mara, Anya Taylor-Joy, Rose Leslie",A corporate risk-management consultant must decide whether or not to terminate an artificially created humanoid being.,"English, Mandarin","United States, Canada",2 nominations total,https://m.media-amazon.com/images/M/MV5BMjA1MjYyNDkxN15BMl5BanBnXkFtZTgwMTgxODAwOTE@._V1_SX300.jpg,48,5.9,49026,tt4520364,movie,N/A,
Keeping Up With the Joneses,https://www.youtube.com/watch?v=nPfYXXg65qA,2016,PG-13,21 Oct 2016,105 min,"Action, Comedy",Greg Mottola,Michael LeSieur,"Zach Galifianakis, Isla Fisher, Jon Hamm",A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.,"English, Hebrew, Mandarin",United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BNDU2OTU1NzE2Ml5BMl5BanBnXkFtZTgwMDQzMzgwMDI@._V1_SX300.jpg,34,5.9,70958,tt2387499,movie,N/A,
Miss Peregrine's Home for Peculiar Children,https://www.youtube.com/watch?v=DN1uhnnKscY,2016,PG-13,30 Sep 2016,127 min,"Adventure, Drama, Family",Tim Burton,"Ransom Riggs, Jane Goldman","Eva Green, Asa Butterfield, Samuel L. Jackson","When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",English,"United States, United Kingdom, Belgium, Canada",2 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMTU0Nzc5NzI5NV5BMl5BanBnXkFtZTgwNTk1MDE4MDI@._V1_SX300.jpg,57,6.7,204494,tt1935859,movie,N/A,
Independence Day: Resurgence,https://www.youtube.com/watch?v=RfJgT89hEME,2016,PG-13,24 Jun 2016,120 min,"Action, Adventure, Sci-Fi",Roland Emmerich,"James A. Woods, Nicolas Wright, Dean Devlin","Liam Hemsworth, Jeff Goldblum, Bill Pullman","Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?","English, Mandarin, Russian","United States, India",3 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BMjIyMTg5MTg4OV5BMl5BanBnXkFtZTgwMzkzMjY5NzE@._V1_SX300.jpg,32,5.2,196930,tt1628841,movie,N/A,
X-Men: Apocalypse,https://www.youtube.com/watch?v=PfBVIHgQbYk,2016,PG-13,27 May 2016,144 min,"Action, Adventure, Sci-Fi",Bryan Singer,"Simon Kinberg, Bryan Singer, Michael Dougherty","James McAvoy, Michael Fassbender, Jennifer Lawrence","In the 1980s, the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive by bringing destruction to the world.","English, Polish, German, Arabic, Egyptian (Ancient)",United States,1 win & 19 nominations total,https://m.media-amazon.com/images/M/MV5BNjVhNWY3NjItNmZjOS00NTU3LWFiZTctNzdjNGM5Y2Y0MDUwXkEyXkFqcGc@._V1_SX300.jpg,52,6.8,483756,tt3385516,movie,N/A,
Mike and Dave Need Wedding Dates,https://www.youtube.com/watch?v=33MtR-g4Jcg,2016,R,08 Jul 2016,98 min,"Comedy, Romance",Jake Szymanski,"Andrew Jay Cohen, Brendan O'Brien","Zac Efron, Adam Devine, Anna Kendrick","Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.","English, Chinese, Japanese",United States,4 nominations total,https://m.media-amazon.com/images/M/MV5BMjM4NDIxNzI5Nl5BMl5BanBnXkFtZTgwMTg4NTY5NzE@._V1_SX300.jpg,51,6,98903,tt2823054,movie,N/A,
VICTOR FRANKENSTEIN,https://www.youtube.com/watch?v=xAbjuvw6PaY,2015,PG-13,25 Nov 2015,110 min,"Drama, Horror, Sci-Fi",Paul McGuigan,"Max Landis, Mary Shelley","Daniel Radcliffe, James McAvoy, Jessica Brown Findlay","Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein becam...",English,"United Kingdom, Canada, United States",4 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BODA5MDc2NDI5OF5BMl5BanBnXkFtZTgwNDYzMTA2NjE@._V1_SX300.jpg,36,6,62298,tt1976009,movie,N/A,
Deadpool,https://www.youtube.com/watch?v=9vN6DHB6bJc,2016,R,12 Feb 2016,108 min,"Action, Comedy, Sci-Fi",Tim Miller,"Rhett Reese, Paul Wernick","Ryan Reynolds, Morena Baccarin, T.J. Miller","A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",English,United States,29 wins & 78 nominations total,https://m.media-amazon.com/images/M/MV5BNzY3ZWU5NGQtOTViNC00ZWVmLTliNjAtNzViNzlkZWQ4YzQ4XkEyXkFqcGc@._V1_SX300.jpg,65,8,1228663,tt1431045,movie,N/A,
Eddie the Eagle,https://www.youtube.com/watch?v=hyzQjVUmIxk,2015,PG-13,26 Feb 2016,106 min,"Adventure, Biography, Comedy",Dexter Fletcher,"Simon Kelton, Sean Macaulay","Taron Egerton, Hugh Jackman, Tom Costello","The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics.","English, German, Norwegian","United Kingdom, Germany, United States",2 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMTUxOTc5MTU1NF5BMl5BanBnXkFtZTgwODYyNTA1NzE@._V1_SX300.jpg,54,7.3,104416,tt1083452,movie,N/A,
The Other Side of the Door,https://www.youtube.com/watch?v=hhF0Uiws2oI,2016,R,04 Mar 2016,96 min,"Horror, Thriller",Johannes Roberts,"Johannes Roberts, Ernest Riera","Sarah Wayne Callies, Jeremy Sisto, Sofia Rosinsky","After her young son is killed in a tragic accident, a woman learns of a ritual which will bring him back to say goodbye, but when she disobeys a sacred warning, she upsets the balance between life and death.","English, Hindi, Sanskrit","United Kingdom, India",2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTk1MzgyMTkwMV5BMl5BanBnXkFtZTgwMDQ2NDQzNzE@._V1_SX300.jpg,41,5.3,20325,tt3702652,movie,N/A,
Alvin and the Chipmunks: The Road Chip,https://www.youtube.com/watch?v=0BwLNc1KyDQ,2015,PG,18 Dec 2015,92 min,"Adventure, Comedy, Family",Walt Becker,"Ross Bagdasarian, Janice Karman, Randi Mayem Singer","Jason Lee, Justin Long, Matthew Gray Gubler",The Chipmunks believe that Dave plans to propose to his new girlfriend in Miami.--and dump them. They have three days to get to him and save themselves not only from losing Dave but also from gaining a terrible stepbrother.,"English, Spanish",United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTcyNDY0MjY2M15BMl5BanBnXkFtZTgwMTU3Mjk4NjE@._V1_SX300.jpg,33,4.9,24934,tt2974918,movie,N/A,
JOY,https://www.youtube.com/watch?v=uR-2TiQVY-k,2015,PG-13,25 Dec 2015,124 min,"Biography, Drama",David O. Russell,"David O. Russell, Annie Mumolo","Jennifer Lawrence, Robert De Niro, Bradley Cooper","Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.","English, Spanish, French",United States,Nominated for 1 Oscar. 8 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BNmEyMWJiNzMtZjU3Mi00YzBjLTk3ZDgtMDZkYWVjNmZjMjQ3XkEyXkFqcGc@._V1_SX300.jpg,56,6.6,149748,tt2446980,movie,N/A,
The Revenant,https://www.youtube.com/watch?v=LoebZZ8K5N0,2015,R,08 Jan 2016,156 min,"Adventure, Drama, Western",Alejandro G. Iñárritu,"Mark L. Smith, Alejandro G. Iñárritu, Michael Punke","Leonardo DiCaprio, Tom Hardy, Will Poulter",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"English, Pawnee, French","United States, Hong Kong, Taiwan, Argentina",Won 3 Oscars. 94 wins & 193 nominations total,https://m.media-amazon.com/images/M/MV5BYTgwNmQzZDctMjNmOS00OTExLTkwM2UtNzJmOTJhODFjOTdlXkEyXkFqcGc@._V1_SX300.jpg,76,8,926000,tt1663202,movie,N/A,
The Peanuts Movie,https://www.youtube.com/watch?v=T_X8yvpZg6E,2015,G,06 Nov 2015,88 min,"Animation, Adventure, Comedy",Steve Martino,"Craig Schulz, Bryan Schulz, Cornelius Uliano","Noah Schnapp, Bill Melendez, Hadley Belle Miller","Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.",English,United States,2 wins & 49 nominations total,https://m.media-amazon.com/images/M/MV5BNTE5NzMxNzkwNl5BMl5BanBnXkFtZTgwOTQ0Nzk5NzE@._V1_SX300.jpg,67,7,52134,tt2452042,movie,N/A,
The Martian,https://www.youtube.com/watch?v=ej3ioOneTy8,2015,PG-13,02 Oct 2015,144 min,"Adventure, Drama, Sci-Fi",Ridley Scott,"Drew Goddard, Andy Weir","Matt Damon, Jessica Chastain, Kristen Wiig","An astronaut becomes stranded on Mars after his team assumes him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.","English, Mandarin","United States, United Kingdom, Hungary, Jordan",Nominated for 7 Oscars. 40 wins & 199 nominations total,https://m.media-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_SX300.jpg,80,8,985125,tt3659388,movie,N/A,
Victor Frankenstein,https://www.youtube.com/watch?v=7pxZxY_Siyc,2015,PG-13,25 Nov 2015,110 min,"Drama, Horror, Sci-Fi",Paul McGuigan,"Max Landis, Mary Shelley","Daniel Radcliffe, James McAvoy, Jessica Brown Findlay","Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein becam...",English,"United Kingdom, Canada, United States",4 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BODA5MDc2NDI5OF5BMl5BanBnXkFtZTgwNDYzMTA2NjE@._V1_SX300.jpg,36,6,62298,tt1976009,movie,N/A,
Maze Runner: The Scorch Trials,https://www.youtube.com/watch?v=SDofO3P2HpE,2015,PG-13,18 Sep 2015,131 min,"Action, Adventure, Sci-Fi",Wes Ball,"T.S. Nowlin, James Dashner","Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster","After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.",English,United States,2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjE3MDU2NzQyMl5BMl5BanBnXkFtZTgwMzQxMDQ3NTE@._V1_SX300.jpg,43,6.3,297358,tt4046784,movie,N/A,
